"name";"cst";"SAO";"coord";"wds_name";"last";"obs";"pa";"sep";"m1";"m2";"d_mag";"orb"
"";"And";"37402";"01 39 02 +41 04 03";"STF 140 AB";"2016";"30";176;3.5;9.28;10.01;0.73;""
"";"And";"37402";"01 39 02 +41 04 03";"STF 140 AC";"2016";"9";320;196.4;8.92;9.99;1.07;""
"HD 10156";"And";"54884";"01 40 03 +38 58 11";"STF 141";"2020";"64";304;1.7;8.28;8.61;0.33;""
"HD 10182";"Psc";"92560";"01 39 55 +15 15 24";"STF 142 AB";"2019";"103";69;23.5;8.89;9.23;0.34;""
"";"Psc";"92560";"01 39 55 +15 15 24";"STF 142 AC";"2015";"14";182;101.0;8.89;12.82;3.93;""
"HD 10206";"Tri";"54892";"01 40 26 +34 20 20";"STF 143 AB";"2015";"47";319;46.5;8.16;9.97;1.81;""
"";"Cet";"";"01 40 24 -00 03 12";"STF 144";"2016";"22";293;15.7;9.45;11.90;2.45;""
"HD 10308";"Psc";"74870";"01 41 18 +25 44 45";"STF 145 AB";"2015";"30";31;10.3;6.25;10.90;4.65;""
"";"Psc";"74870";"01 41 18 +25 44 45";"STF 145 AC";"2015";"13";337;85.1;6.25;11.20;4.95;""
"HD 10351";"Psc";"110059";"01 41 19 +10 06 50";"STF 146";"2016";"52";307;24.3;8.87;9.04;0.17;""
"HD 10453";"Cet";"147962";"01 41 45 -11 19 29";"STF 147";"2022";"174";44;0.1;6.14;7.17;1.03;"Y"
"HD 10663";"Cas";"11966";"01 46 05 +63 48 56";"STF 148";"2012";"39";59;0.2;9.00;9.60;0.60;"Y"
"HD 10629";"And";"54946";"01 44 31 +39 57 31";"STF 149";"2018";"47";81;1.4;8.15;9.30;1.15;""
"HD 10606";"Cet";"129472";"01 43 22 -07 04 37";"STF 150";"2015";"38";196;35.7;7.73;8.19;0.46;""
"";"Cas";"";"01 45 59 +61 12 46";"STF 151";"2016";"22";38;7.2;10.59;10.98;0.39;""
"HD 10663";"Cas";"11968";"01 46 05 +61 13 42";"STF 152";"2015";"22";106;9.4;9.04;11.20;2.16;""
