index1,index2,dist
14G Cen,CD -52°4222,42.04
15G Cen,CD -43°6899,6.58
16G Cen,CD -38°7022,18.34
17G Cen,CD -40°6609,12.84
18G Cen,CD -47°6664,18.71
19G Cen,CD -45°6837,6.36
20G Cen,CD -37°7146,18.96
21G Cen,CD -40°6618,18.88
22G Cen,CD -41°6450,7.51
23G Cen,CD -35°7111,24.12
pi Cen,CD -53°4002,6.26
25G Cen,CD -43°7006,14.28
26G Cen,CD -35°7163,9.47
27G Cen,CD -56°3902,60.00
28G Cen,CD -41°6529,18.54
29G Cen,CD -35°7189,14.07
30G Cen,CD -37°7235,21.62
31G Cen,CD -63°650,19.22
32G Cen,CD -52°4400,33.56
33G Cen,CD -60°3550,13.28
34G Cen,CD -41°6565,6.40
35G Cen,CD -62°524,6.00
36G Cen,CD -60°3587,12.36
omicron1Cen,CD -58°4100,6.05
omicron2Cen,CD -58°4101,19.31
39G Cen,CD -39°7168,11.53
40G Cen,CD -35°7280,12.96
41G Cen,CD -39°7175,31.06
A Cen,CD -53°4123,18.20
43G Cen,CD -48°6630,6.32
C1 Cen,CD -46°7199,6.75
C2 Cen,CD -46°7205,13.98
lambda Cen,CD -62°539,33.08
NGC3766 Cen,CD -60°3621,85.52
48G Cen,CD -35°7324,31.55
49G Cen,CD -36°7291,7.70
50G Cen,CD -60°3628,38.40
51G Cen,CD -38°7230,30.82
52G Cen,CD -60°3642,8.94
C3 Cen,CD -47°6997,6.74
54G Cen,CD -61°3126,15.01
55G Cen,CD -37°7399,6.46
56G Cen,CD -49°6377,5.81
57G Cen,CD -53°4161,12.81
58G Cen,CD -61°3145,30.01
59G Cen,CD -42°7155,8.95
60G Cen,CD -36°7371,6.03
61G Cen,CD -61°3163,36.69
62G Cen,CD -62°568,36.67
63G Cen,CD -48°6777,1.99
64G Cen,CD -44°7564,3.18
65G Cen,CD -60°3741,32.25
66G Cen,CD -39°7301,6.91
67G Cen,CD -35°7438,12.96
68G Cen,CD -57°4122,6.83
j Cen,CD -63°674,78.00
70G Cen,CD -61°3216,60.02
B Cen,CD -44°7614,8.04
72G Cen,CD -43°7333,7.42
73G Cen,CD -61°3223,8.86
74G Cen,CD -56°4177,72.02
75G Cen,CD -35°7521,14.04
76G Cen,CD -56°4193,6.00
77G Cen,CD -37°7536,18.97
78G Cen,CD -55°4298,19.25
79G Cen,CD -62°584,36.00
80G Cen,CD -38°7410,30.02
81G Cen,CD -46°7521,6.35
82G Cen,CD -48°6984,8.45
83G Cen,CD -47°7273,18.11
84G Cen,CD -45°7438,6.00
85G Cen,CD -51°6236,12.58
86G Cen,CD -45°7444,1.04
87G Cen,CD -47°7335,14.48
88G Cen,CD -41°6938,24.64
89G Cen,CD -38°7479,19.34
90G Cen,CD -50°6630,3.79
91G Cen,CD -37°7663,13.98
92G Cen,CD -49°6813,6.30
E Cen,CD -47°7396,3.01
delta Cen,CD -50°6697,12.93
95G Cen,CD -43°7502,19.99
96G Cen,CD -40°7128,18.04
97G Cen,CD -37°7714,16.94
98G Cen,CD -44°7845,23.38
99G Cen,CD -43°7524,8.09
100G Cen,CD -50°6752,12.59
rho Cen,CD -51°6455,6.00
102G Cen,CD -38°7581,12.18
D Cen,CD -45°7630,6.36
104G Cen,CD -41°7056,30.00
105G Cen,CD -48°7307,0.00
106G Cen,CD -35°7842,19.44
107G Cen,CD -51°6557,12.57
F Cen,CD -54°4692,6.25
