index1,index2,dist
USNO 2464,CD -28°2447,7.18
USNO 2467,CD -28°2449,14.61
USNO 2468,CD -27°2504,24.65
USNO 2474,CD -35°2509,18.92
USNO 2476,CD -26°2497,9.50
USNO 2477,CD -23°3135,31.77
USNO 2481,CD -32°2587,40.80
USNO 2484,CD -22°2534,4.95
USNO 2487,CD -25°2731,18.51
USNO 2488,CD -25°2734,24.76
USNO 2489,CD -29°2556,20.40
USNO 2497,CD -33°2599,7.56
USNO 2501,CD -29°2595,24.23
USNO 2504,CD -26°2558,10.06
USNO 2505,CD -28°2550,6.95
USNO 2511,CD -28°2562,10.81
USNO 2514,CD -29°2613,34.27
USNO 2515,CD -29°2614,7.02
USNO 2517,CD -29°2615,10.58
USNO 2521,CD -31°2844,8.77
USNO 2522,CD -23°3263,34.27
USNO 2523,CD -31°2848,10.10
USNO 2527,CD -28°2589,16.47
USNO 2528,CD -31°2854,25.53
USNO 2530,CD -27°2620,1.85
USNO 2531,CD -28°2591,18.13
USNO 2536,CD -35°2612,13.28
USNO 2540,CD -31°2871,45.03
USNO 2541,CD -29°2646,15.16
USNO 2542,CD -34°2560,40.84
USNO 2547,CD -34°2571,50.55
USNO 2549,CD -33°2660,11.86
USNO 2550,CD -29°2670,25.74
USNO 2552,CD -35°2631,5.90
USNO 2557,CD -27°2662,43.46
USNO 2561,CD -25°2865,24.48
USNO 2564,CD -33°2681,5.34
USNO 2565,CD -27°2677,31.86
USNO 2567,CD -27°2680,13.42
USNO 2570,CD -26°2675,31.68
USNO 2584,CD -32°2743,28.91
USNO 2585,CD -28°2688,17.48
USNO 2586,CD -28°2689,14.51
USNO 2587,CD -28°2691,11.22
USNO 2593,CD -28°2703,10.78
USNO 2594,CD -28°2703,11.42
USNO 2596,CD -24°3679,21.60
USNO 2597,CD -29°2769,14.25
USNO 2598,CD -23°3432,43.07
USNO 2599,CD -24°3699,40.78
USNO 2602,CD -30°2849,12.49
USNO 2605,CD -42°2343,16.40
USNO 2606,CD -36°2660,5.27
USNO 2615,CD -26°2761,11.03
USNO 2616,CD -30°2871,29.89
USNO 2619,CD -29°2826,15.59
USNO 2620,CD -27°2780,6.97
USNO 2622,CD -27°2781,19.34
USNO 2623,CD -34°2699,23.16
USNO 2624,CD -26°2784,2.43
USNO 2625,CD -27°2790,13.96
USNO 2626,CD -26°2792,18.55
USNO 2627,CD -33°2779,29.58
USNO 2628,CD -26°2793,2.45
USNO 2634,CD -26°2800,8.02
USNO 2636,CD -27°2799,19.81
USNO 2637,CD -27°2806,2.95
USNO 2638,CD -27°2808,9.71
USNO 2639,CD -27°2810,7.60
USNO 2641,CD -28°2800,7.57
USNO 2642,CD -23°3577,13.40
USNO 2644,CD -29°2883,20.66
USNO 2646,CD -28°2823,20.92
USNO 2647,CD -29°2898,19.16
USNO 2650,CD -28°2831,16.75
USNO 2651,CD -28°2833,18.50
USNO 2655,CD -29°2909,9.97
USNO 2657,CD -29°2936,41.23
USNO 2658,CD -24°3862,14.73
USNO 2659,CD -35°2800,30.79
USNO 2660,CD -26°2889,27.51
USNO 2667,CD -28°2877,39.32
USNO 2670,CD -24°3906,27.15
USNO 2672,CD -24°3915,13.93
USNO 2673,CD -28°2902,11.91
USNO 2675,CD -23°3729,67.23
USNO 2676,CD -29°3009,62.20
USNO 2677,CD -29°3009,20.13
USNO 2680,CD -29°3021,4.13
USNO 2686,CD -29°3055,28.12
USNO 2692,CD -24°4003,26.51
USNO 2693,CD -28°2981,9.58
USNO 2698,CD -29°3090,17.05
USNO 2702,CD -25°3237,17.48
USNO 2705,CD -25°3246,71.31
USNO 2710,CD -25°3271,17.70
USNO 2711,CD -25°3293,22.75
USNO 2712,CD -25°3293,4.63
USNO 2714,CD -31°3357,12.81
USNO 2717,CD -27°3051,13.80
USNO 2718,CD -29°3169,11.47
USNO 2722,CD -23°3991,5.91
USNO 2727,CD -29°3189,26.45
USNO 2728,CD -31°3389,21.18
USNO 2729,CD -31°3391,10.81
USNO 2732,CD -27°3078,11.71
USNO 2735,CD -26°3128,8.19
USNO 2740,CD -29°3241,29.63
USNO 2741,CD -25°3380,35.87
USNO 2744,CD -24°4209,31.55
USNO 2746,CD -24°4208,29.79
USNO 2747,CD -28°3183,33.11
USNO 2751,CD -28°3201,4.74
USNO 2753,CD -27°3146,45.17
USNO 2754,CD -28°3219,16.22
USNO 2755,CD -23°4144,20.37
USNO 2759,CD -27°3158,13.67
USNO 2765,CD -23°4172,8.27
USNO 2766,CD -28°3246,8.85
USNO 2767,CD -23°4178,6.54
USNO 2768,CD -30°3386,11.36
USNO 2772,CD -28°3270,46.97
USNO 2776,CD -30°3412,35.90
USNO 2778,CD -27°3208,14.64
USNO 2779,CD -27°3210,18.85
USNO 2783,CD -23°4241,7.61
USNO 2784,CD -31°3583,16.39
USNO 2789,CD -29°3388,7.46
USNO 2790,CD -28°3331,24.67
USNO 2795,CD -27°3238,6.49
USNO 2801,CD -27°3248,5.20
USNO 2804,CD -30°3495,21.43
USNO 2805,CD -31°3634,33.43
USNO 2808,CD -28°3397,28.54
USNO 2809,CD -29°3452,26.14
USNO 2813,CD -28°3431,20.19
USNO 2814,CD -28°3432,32.83
USNO 2815,CD -26°3411,15.54
USNO 2819,CD -27°3292,17.27
USNO 2820,CD -28°3454,15.16
USNO 2821,CD -28°3455,14.88
USNO 2822,CD -28°3457,18.82
