index1,index2,dist
G 773,PPM 352400,3.78
G 774,PPM 367267,1.24
G 775,PPM 367261,1.70
G 776,PPM 376013,1.31
G 777,PPM 352401,1.90
G 778,PPM 367263,18.18
G 779,PPM 376047,1.48
G 780,PPM 367270,2.78
G 781,PPM 352404,4.40
G 782,PPM 367257,0.91
G 783,PPM 367265,1.87
G 784,PPM 367254,2.46
G 785,PPM 367274,1.65
G 786,PPM 367282,1.95
G 787,PPM 367279,0.60
G 788,PPM 352421,1.17
G 790,PPM 367285,0.28
G 791,PPM 367283,1.72
G 792,PPM 352426,3.70
G 793,PPM 367262,1.37
G 794,PPM 352428,2.47
G 795,PPM 367286,0.91
G 796,PPM 367280,0.49
G 798,PPM 367278,2.82
G 799,PPM 367291,1.88
G 800,PPM 367289,1.10
G 801,PPM 376051,3.48
G 802,PPM 352439,1.84
G 803,PPM 376038,4.23
G 804,PPM 367288,2.23
G 805,PPM 352444,2.34
G 806,PPM 788460,1.82
G 807,PPM 352442,2.92
G 808,PPM 352443,4.09
G 809,PPM 367287,1.24
G 810,PPM 352445,1.01
G 811,PPM 376053,2.44
G 812,PPM 367284,1.50
G 813,PPM 367294,1.40
G 814,PPM 367299,3.18
G 815,PPM 352446,0.85
G 816,PPM 352447,3.45
G 817,PPM 367290,4.26
G 818,PPM 367308,1.31
G 819,PPM 367297,0.94
G 820,PPM 367300,1.02
G 821,PPM 376045,0.83
G 822,PPM 376050,2.68
G 823,PPM 367312,1.01
G 824,PPM 352457,2.42
G 825,PPM 352456,2.26
G 826,PPM 352458,7.12
G 827,PPM 367306,3.23
G 828,PPM 367303,3.48
G 829,PPM 375986,1.11
G 830,PPM 352466,1.10
G 831,PPM 352465,10.64
G 832,PPM 783763,0.30
G 833,PPM 367313,1.68
G 834,PPM 367293,0.45
G 835,PPM 352469,3.24
G 836,PPM 367321,2.80
G 837,PPM 367318,1.26
G 838,PPM 352467,1.88
G 839,PPM 352471,2.25
G 840,PPM 367310,0.79
G 841,PPM 352477,1.08
G 842,PPM 352474,2.42
G 843,PPM 783764,2.59
G 844,PPM 367319,2.15
G 845,PPM 376057,3.67
G 846,PPM 367304,1.45
G 847,PPM 367309,1.76
G 848,PPM 376054,1.31
G 849,PPM 352481,2.00
G 850,PPM 352478,2.67
G 851,PPM 376054,4.12
G 852,PPM 352483,2.42
G 853,PPM 352478,25.97
G 854,PPM 775303,2.16
G 855,PPM 352487,1.28
G 856,PPM 376055,1.78
G 857,PPM 376056,1.40
G 858,PPM 352489,2.19
G 859,PPM 367326,3.67
G 860,PPM 352492,2.32
G 861,PPM 367339,6.08
G 862,PPM 367325,1.67
G 863,PPM 367337,1.16
G 864,PPM 367332,4.34
G 865,PPM 788466,4.45
G 866,PPM 367331,3.21
G 867,PPM 367338,3.36
G 868,PPM 367320,0.79
G 869,PPM 352496,3.40
G 870,PPM 352500,0.16
G 871,PPM 352501,4.77
G 872,PPM 352497,2.88
G 873,PPM 367322,1.43
G 874,PPM 352498,5.20
G 875,PPM 775304,2.76
G 876,PPM 367317,0.95
G 877,PPM 352503,0.89
G 878,PPM 775305,3.09
G 879,PPM 775306,1.93
G 880,PPM 788463,0.53
G 881,PPM 367342,2.49
G 882,PPM 352505,1.83
G 883,PPM 352511,2.44
G 884,PPM 376059,1.41
G 885,PPM 367330,1.42
G 886,PPM 376049,2.98
G 887,PPM 352510,1.60
G 888,PPM 367343,1.34
