index1,index2,dist
USNO 600,PPM 144303,0.20
USNO 601,PPM 144301,0.30
USNO 602,PPM 117080,0.94
USNO 603,PPM 209790,0.45
USNO 604,PPM 144309,1.99
USNO 605,PPM 117086,1.69
USNO 606,PPM 66012,0.37
USNO 607,PPM 66010,1.01
USNO 608,PPM 144314,3.97
USNO 609,PPM 26092,1.00
USNO 610,PPM 117095,0.38
USNO 611,PPM 117098,1.93
USNO 612,PPM 144324,3.04
USNO 613,PPM 144327,1.85
USNO 614,PPM 117104,0.72
USNO 615,PPM 66038,1.60
USNO 616,PPM 243658,0.90
USNO 617,PPM 174860,1.32
USNO 618,PPM 90550,0.35
USNO 619,PPM 183134,0.77
USNO 620,PPM 117123,0.98
USNO 621,PPM 117124,1.03
USNO 622,PPM 144347,5.23
USNO 623,PPM 276783,2.77
USNO 624,PPM 183147,1.35
USNO 625,PPM 117134,0.53
USNO 626,PPM 117136,0.81
USNO 627,PPM 144361,0.91
USNO 628,PPM 117138,1.29
USNO 629,PPM 43765,0.48
USNO 630,PPM 117141,0.94
USNO 631,PPM 117142,1.38
USNO 632,PPM 144372,1.78
USNO 633,PPM 174866,1.23
USNO 634,PPM 276805,3.42
USNO 635,PPM 144380,1.26
USNO 636,PPM 276809,3.54
USNO 637,PPM 117151,2.51
USNO 638,PPM 144381,0.90
USNO 639,PPM 183186,1.69
USNO 640,PPM 144390,5.12
USNO 641,PPM 183190,0.83
USNO 642,PPM 144402,0.84
USNO 643,PPM 144404,1.40
USNO 644,PPM 144406,0.70
USNO 645,PPM 243740,1.29
USNO 646,PPM 431,19.15
USNO 647,PPM 174869,1.20
USNO 648,PPM 431,0.34
USNO 649,PPM 144424,3.05
USNO 650,PPM 144429,1.72
USNO 651,PPM 66138,1.31
USNO 652,PPM 144437,0.18
USNO 653,PPM 183240,2.58
USNO 654,PPM 276865,3.22
USNO 655,PPM 66146,2.04
USNO 656,PPM 183250,1.96
USNO 657,PPM 117190,2.86
USNO 658,PPM 144446,2.08
USNO 659,PPM 144451,1.17
USNO 660,PPM 117198,3.05
USNO 661,PPM 144457,1.35
