index1,index2,dist
128G Car,CPD -68°918,12.32
129G Car,CPD -66°1002,6.00
130G Car,CPD -74°580,6.34
131G Car,CPD -74°579,14.15
k Car,CPD -61°1242,5.66
133G Car,CPD -59°1374,3.78
134G Car,CPD -61°1265,9.41
135G Car,CPD -61°1271,9.36
136G Car,CPD -69°1056,6.09
137G Car,CPD -64°1037,0.00
138G Car,CPD -71°833,0.00
139G Car,CPD -61°1277,6.97
140G Car,CPD -61°1278,3.54
141G Car,CPD -66°1018,8.53
142G Car,CPD -71°835,6.00
143G Car,CPD -57°2090,7.68
144G Car,CPD -66°1025,0.00
H Car,CPD -72°835,6.00
h Car,CPD -58°1576,7.16
148G Car,CPD -64°1049,0.00
149G Car,CPD -63°1144,8.93
m Car,CPD -60°1477,9.47
151G Car,CPD -62°1279,6.93
152G Car,CPD -57°2228,15.73
153G Car,CPD -56°2435,6.59
154G Car,CPD -66°1042,7.33
156G Car,CPD -56°2499,1.65
l Car,CPD -61°1333,6.96
158G Car,CPD -58°1640,6.00
159G Car,CPD -69°1112,5.33
upsilon Car,CPD -64°1084,9.69
161G Car,CPD -58°1673,7.76
162G Car,CPD -62°1335,6.95
163G Car,CPD -57°2418,7.21
164G Car,CPD -56°2646,8.31
165G Car,CPD -68°1002,0.00
166G Car,CPD -70°953,4.93
167G Car,CPD -68°1011,8.14
168G Car,CPD -56°2770,8.90
169G Car,CPD -59°1695,3.77
170G Car,CPD -59°1752,3.80
171G Car,CPD -61°1431,9.33
172G Car,CPD -61°1441,6.00
173G Car,CPD -57°2703,1.61
174G Car,CPD -61°1479,9.32
175G Car,CPD -70°966,6.00
176G Car,CPD -65°1248,8.69
S Car,CPD -60°1701,7.02
178G Car,CPD -68°1034,18.08
179G Car,CPD -58°1979,7.18
180G Car,CPD -57°2781,6.21
181G Car,CPD -67°1222,6.00
182G Car,CPD -59°1974,3.83
183G Car,CPD -61°1517,5.81
M Car,CPD -65°1273,6.16
omega Car,CPD -69°1178,8.72
186G Car,CPD -59°2008,0.00
q Car,CPD -60°1817,9.48
188G Car,CPD -64°1248,8.89
189G Car,CPD -64°1250,12.43
190G Car,CPD -57°3069,1.61
L Car,CPD -66°1243,12.72
192G Car,CPD -57°3164,6.46
I Car,CPD -73°733,10.72
194G Car,CPD -73°735,8.60
195G Car,CPD -57°3256,12.25
s Car,CPD -58°2227,12.64
197G Car,CPD -62°1595,11.99
198G Car,CPD -65°1354,6.78
199G Car,CPD -63°1440,11.69
200G Car,CPD -60°1945,3.67
201G Car,CPD -66°1291,6.00
K Car,CPD -71°1034,12.92
p Car,CPD -61°1704,9.42
204G Car,CPD -72°981,4.49
205G Car,CPD -57°3431,6.00
206G Car,CPD -58°2285,6.00
207G Car,CPD -60°1983,6.40
r Car,CPD -56°3544,7.37
209G Car,CPD -57°3508,9.65
t1 Car,CPD -58°2371,7.14
